zipcode,zone,trange,zonetitle
96701,12b,55 to 60,12b: 55 to 60
96703,12b,55 to 60,12b: 55 to 60
96704,12a,50 to 55,12a: 50 to 55
96705,12b,55 to 60,12b: 55 to 60
96706,12b,55 to 60,12b: 55 to 60
96707,12b,55 to 60,12b: 55 to 60
96708,12b,55 to 60,12b: 55 to 60
96709,12b,55 to 60,12b: 55 to 60
96710,12b,55 to 60,12b: 55 to 60
96712,12a,50 to 55,12a: 50 to 55
96713,12a,50 to 55,12a: 50 to 55
96714,12a,50 to 55,12a: 50 to 55
96715,12a,50 to 55,12a: 50 to 55
96716,12b,55 to 60,12b: 55 to 60
96717,12b,55 to 60,12b: 55 to 60
96718,11a,40 to 45,11a: 40 to 45
96719,12b,55 to 60,12b: 55 to 60
96720,12b,55 to 60,12b: 55 to 60
96721,12b,55 to 60,12b: 55 to 60
96722,12b,55 to 60,12b: 55 to 60
96725,12a,50 to 55,12a: 50 to 55
96726,11b,45 to 50,11b: 45 to 50
96727,12a,50 to 55,12a: 50 to 55
96728,12b,55 to 60,12b: 55 to 60
96729,12b,55 to 60,12b: 55 to 60
96730,12b,55 to 60,12b: 55 to 60
96731,12b,55 to 60,12b: 55 to 60
96732,12b,55 to 60,12b: 55 to 60
96733,12b,55 to 60,12b: 55 to 60
96734,12b,55 to 60,12b: 55 to 60
96737,11b,45 to 50,11b: 45 to 50
96738,12a,50 to 55,12a: 50 to 55
96739,12b,55 to 60,12b: 55 to 60
96740,12b,55 to 60,12b: 55 to 60
96741,12a,50 to 55,12a: 50 to 55
96742,12b,55 to 60,12b: 55 to 60
96743,11a,40 to 45,11a: 40 to 45
96744,12b,55 to 60,12b: 55 to 60
96745,12a,50 to 55,12a: 50 to 55
96746,12a,50 to 55,12a: 50 to 55
96747,12b,55 to 60,12b: 55 to 60
96748,12b,55 to 60,12b: 55 to 60
96749,12b,55 to 60,12b: 55 to 60
96750,12a,50 to 55,12a: 50 to 55
96751,12b,55 to 60,12b: 55 to 60
96752,12b,55 to 60,12b: 55 to 60
96753,12b,55 to 60,12b: 55 to 60
96754,12b,55 to 60,12b: 55 to 60
96755,12b,55 to 60,12b: 55 to 60
96756,12a,50 to 55,12a: 50 to 55
96757,12a,50 to 55,12a: 50 to 55
96759,12a,50 to 55,12a: 50 to 55
96760,12a,50 to 55,12a: 50 to 55
96761,12b,55 to 60,12b: 55 to 60
96762,12b,55 to 60,12b: 55 to 60
96763,12a,50 to 55,12a: 50 to 55
96764,12b,55 to 60,12b: 55 to 60
96765,12a,50 to 55,12a: 50 to 55
96766,12a,50 to 55,12a: 50 to 55
96767,12b,55 to 60,12b: 55 to 60
96768,12a,50 to 55,12a: 50 to 55
96769,12b,55 to 60,12b: 55 to 60
96770,12a,50 to 55,12a: 50 to 55
96771,11b,45 to 50,11b: 45 to 50
96772,12b,55 to 60,12b: 55 to 60
96773,12b,55 to 60,12b: 55 to 60
96774,12b,55 to 60,12b: 55 to 60
96776,12a,50 to 55,12a: 50 to 55
96777,12a,50 to 55,12a: 50 to 55
96778,12a,50 to 55,12a: 50 to 55
96779,12b,55 to 60,12b: 55 to 60
96780,12b,55 to 60,12b: 55 to 60
96781,12b,55 to 60,12b: 55 to 60
96782,12a,50 to 55,12a: 50 to 55
96783,12b,55 to 60,12b: 55 to 60
96784,12b,55 to 60,12b: 55 to 60
96785,11a,40 to 45,11a: 40 to 45
96786,12a,50 to 55,12a: 50 to 55
96788,12a,50 to 55,12a: 50 to 55
96789,12a,50 to 55,12a: 50 to 55
96790,11b,45 to 50,11b: 45 to 50
96791,12b,55 to 60,12b: 55 to 60
96792,12b,55 to 60,12b: 55 to 60
96793,12b,55 to 60,12b: 55 to 60
96795,12b,55 to 60,12b: 55 to 60
96796,12b,55 to 60,12b: 55 to 60
96797,12a,50 to 55,12a: 50 to 55
96801,12a,50 to 55,12a: 50 to 55
96802,12b,55 to 60,12b: 55 to 60
96803,12b,55 to 60,12b: 55 to 60
96804,12b,55 to 60,12b: 55 to 60
96805,12b,55 to 60,12b: 55 to 60
96806,12b,55 to 60,12b: 55 to 60
96807,12b,55 to 60,12b: 55 to 60
96808,12b,55 to 60,12b: 55 to 60
96809,12b,55 to 60,12b: 55 to 60
96810,12b,55 to 60,12b: 55 to 60
96811,12a,50 to 55,12a: 50 to 55
96812,12b,55 to 60,12b: 55 to 60
96813,12b,55 to 60,12b: 55 to 60
96814,12b,55 to 60,12b: 55 to 60
96815,12b,55 to 60,12b: 55 to 60
96816,12b,55 to 60,12b: 55 to 60
96817,12b,55 to 60,12b: 55 to 60
96818,12b,55 to 60,12b: 55 to 60
96819,12b,55 to 60,12b: 55 to 60
96820,12b,55 to 60,12b: 55 to 60
96821,12b,55 to 60,12b: 55 to 60
96822,12a,50 to 55,12a: 50 to 55
96823,12b,55 to 60,12b: 55 to 60
96824,12b,55 to 60,12b: 55 to 60
96825,12b,55 to 60,12b: 55 to 60
96826,12b,55 to 60,12b: 55 to 60
96828,12b,55 to 60,12b: 55 to 60
96830,12b,55 to 60,12b: 55 to 60
96836,12b,55 to 60,12b: 55 to 60
96837,12b,55 to 60,12b: 55 to 60
96838,12b,55 to 60,12b: 55 to 60
96839,12a,50 to 55,12a: 50 to 55
96840,12b,55 to 60,12b: 55 to 60
96841,12b,55 to 60,12b: 55 to 60
96843,12b,55 to 60,12b: 55 to 60
96844,12b,55 to 60,12b: 55 to 60
96846,12b,55 to 60,12b: 55 to 60
96847,12b,55 to 60,12b: 55 to 60
96848,12a,50 to 55,12a: 50 to 55
96849,12b,55 to 60,12b: 55 to 60
96850,12b,55 to 60,12b: 55 to 60
96853,12b,55 to 60,12b: 55 to 60
96854,12a,50 to 55,12a: 50 to 55
96857,12a,50 to 55,12a: 50 to 55
96858,12b,55 to 60,12b: 55 to 60
96859,12b,55 to 60,12b: 55 to 60
96860,12b,55 to 60,12b: 55 to 60
96861,12a,50 to 55,12a: 50 to 55
96863,13a,60 to 65,13a: 60 to 65
96898,12b,55 to 60,12b: 55 to 60
